,Hour,GHI,T-Td,Td,TARGET,DHI,DNI,WS,RH,T
288,0,0,2.8207541526250726,-5.620754152625072,0.0,0,0,0.8,80.92,-2.8
289,0,0,2.719573892455472,-5.619573892455472,0.0,0,0,0.9,81.53,-2.9
290,1,0,2.981083757836938,-5.981083757836938,0.0,0,0,1.0,79.91,-3.0
291,1,0,2.981083757836938,-5.981083757836938,0.0,0,0,0.9,79.91,-3.0
292,2,0,3.4331363145532485,-6.4331363145532485,0.0,0,0,0.9,77.2,-3.0
293,2,0,3.2325818896355045,-6.432581889635505,0.0,0,0,1.1,78.36,-3.2
294,3,0,3.4928745471340368,-6.892874547134037,0.0,0,0,1.2,76.78,-3.4
295,3,0,3.293586253359448,-6.893586253359448,0.0,0,0,1.8,77.93,-3.6
296,4,0,3.4627227400482683,-7.262722740048268,0.0,0,0,2.4,76.89,-3.8
297,4,0,3.1622268242339846,-7.262226824233984,0.0,0,0,2.9,78.64,-4.1
298,5,0,3.3946502824400175,-7.694650282440017,0.0,0,0,3.5,77.21,-4.3
299,5,0,3.078555583798032,-7.6785555837980315,0.0,0,0,3.6,79.07,-4.6
300,6,0,3.7955819550112544,-8.695581955011255,0.0,0,0,3.8,74.74,-4.9
301,6,0,3.4962624016928325,-8.696262401692833,0.0,0,0,3.9,76.45,-5.2
302,7,0,4.709961276349297,-10.209961276349297,0.0,0,0,4.1,69.45,-5.5
303,7,5,4.810936537600551,-10.210936537600551,0.469267235,5,0,4.5,68.92,-5.4
304,8,20,5.843543032817559,-11.24354303281756,1.8770689390000002,20,0,5.0,63.5,-5.4
305,8,34,6.04461481370769,-11.24461481370769,3.191010182,34,0,5.3,62.54,-5.2
306,9,51,6.309102511430382,-11.409102511430381,4.692656876,50,1,5.6,61.26,-5.1
307,9,73,6.408840963289711,-11.40884096328971,6.382006337999999,66,7,5.8,60.8,-5.0
308,10,160,6.473252959963271,-11.273252959963271,12.57627897,119,41,5.9,60.54,-4.8
309,10,213,6.5743587897065625,-11.274358789706563,15.95496324,142,71,6.0,60.08,-4.7
310,11,163,6.667863586123872,-11.267863586123871,13.89018803,137,26,6.1,59.66,-4.6
311,11,126,6.667863586123872,-11.267863586123871,10.88690413,108,18,6.1,59.66,-4.6
312,12,134,6.674175063233278,-11.274175063233278,11.35616724,111,23,6.2,59.63,-4.6
313,12,175,6.5743587897065625,-11.274358789706563,14.45331964,137,38,6.3,60.08,-4.7
314,13,146,6.533489555679837,-11.333489555679837,12.20086765,117,29,6.4,60.25,-4.8
315,13,87,6.231571631609722,-11.331571631609721,7.6959572760000015,78,9,6.5,61.64,-5.1
316,14,117,6.245637844759572,-11.545637844759572,9.573041066,93,24,6.6,61.52,-5.3
317,14,134,6.045598807210329,-11.545598807210329,10.60545116,104,30,6.5,62.46,-5.5
318,15,139,6.228977866523016,-11.928977866523017,10.23005944,99,40,6.5,61.5,-5.7
319,15,90,5.913132786871792,-11.913132786871792,6.7574927339999995,68,22,6.3,63.0,-6.0
320,16,54,6.093359964630381,-12.393359964630381,3.7541750069999997,38,16,6.0,62.02,-6.3
321,16,15,6.093359964630381,-12.393359964630381,0.9385437520000001,10,5,6.0,62.02,-6.3
322,17,0,6.0739745896070945,-12.873974589607094,0.0,0,0,5.4,61.99,-6.8
323,17,0,5.975465955016579,-12.87546595501658,0.0,0,0,5.1,62.46,-6.9
324,18,0,6.2613711174333915,-13.361371117433391,0.0,0,0,4.9,60.98,-7.1
325,18,0,6.161561038159731,-13.361561038159731,0.0,0,0,4.7,61.45,-7.2
326,19,0,6.592018356592797,-13.892018356592796,0.0,0,0,4.5,59.31,-7.3
327,19,0,6.491778272076878,-13.891778272076879,0.0,0,0,4.3,59.77,-7.4
328,20,0,7.002427955226153,-14.502427955226153,0.0,0,0,4.1,57.3,-7.5
329,20,0,6.800728808863339,-14.50072880886334,0.0,0,0,4.0,58.2,-7.7
330,21,0,7.431811853786907,-15.231811853786906,0.0,0,0,3.8,55.23,-7.8
331,21,0,7.232219582184522,-15.232219582184522,0.0,0,0,3.6,56.09,-8.0
332,22,0,7.781862841222708,-15.981862841222707,0.0,0,0,3.4,53.54,-8.2
333,22,0,7.696911954151764,-15.996911954151765,0.0,0,0,3.4,53.89,-8.3
334,23,0,8.128434833546796,-16.528434833546797,0.0,0,0,3.4,51.96,-8.4
335,23,0,8.128434833546796,-16.528434833546797,0.0,0,0,3.4,51.96,-8.4
