,Hour,TARGET,DHI,DNI,WS,RH,T,Target1,Target2
0,0,0.0,0,0,1.5,69.08,-12,0.0,0.0
1,0,0.0,0,0,1.5,69.06,-12,0.0,0.0
2,1,0.0,0,0,1.6,71.78,-12,0.0,0.0
3,1,0.0,0,0,1.6,71.75,-12,0.0,0.0
4,2,0.0,0,0,1.6,75.2,-12,0.0,0.0
5,2,0.0,0,0,1.5,69.29,-11,0.0,0.0
6,3,0.0,0,0,1.5,72.56,-11,0.0,0.0
7,3,0.0,0,0,1.4,72.55,-11,0.0,0.0
8,4,0.0,0,0,1.3,74.62,-11,0.0,0.0
9,4,0.0,0,0,1.3,74.61,-11,0.0,0.0
10,5,0.0,0,0,1.3,73.74,-11,0.0,0.0
11,5,0.0,0,0,1.3,73.73,-11,0.0,0.0
12,6,0.0,0,0,1.4,72.22,-12,0.0,0.0
13,6,0.0,0,0,1.4,72.22,-12,0.0,0.0
14,7,0.0,0,0,1.4,70.27,-12,0.0,0.0
15,7,0.0,0,0,1.6,64.83,-10,0.0,0.0
16,8,7.039286991,29,494,1.8,65.45,-9,7.1331441510000015,0.750807773
17,8,5.912871119,61,7,1.9,55.9,-7,14.92279645,1.689298925
18,9,22.33726765,58,743,2.1,57.39,-6,22.80603673,5.161689988
19,9,29.46952894,67,811,1.9,53.15,-4,2.158548626,4.97399217
20,10,25.33976234,138,368,1.8,55.99,-3,36.22567883,16.51740796
21,10,25.1520604,178,224,1.9,55.97,-3,41.38691398,9.76017926
22,11,28.71839732,193,261,2.0,58.43,-3,45.14082908,7.601678078
23,11,33.12939298,189,364,2.3,58.41,-3,47.58087389,10.98020167
24,12,19.42715113,190,37,2.6,59.19,-3,48.61266629,17.36185734
25,12,25.71516623,213,133,2.9,59.18,-3,48.14343206,4.88008963
26,13,24.58922479,211,114,3.2,63.27,-4,46.17214086,13.32654506
27,13,21.30440468,185,101,3.1,63.27,-4,42.79416183,9.478739796000001
28,14,11.73150038,124,2,3.0,62.84,-4,38.19566637,4.504797132
29,14,14.73476447,135,69,2.7,62.85,-4,32.28366986,2.627827206
30,15,5.8188881310000005,62,0,2.5,68.55,-5,25.4327748,14.26550446
31,15,7.6020957839999985,73,39,2.2,68.55,-5,17.73744378,16.61198708
32,16,4.035724827,41,11,2.0,70.27,-6,9.854243726,9.010089323999999
33,16,0.938540658,10,0,2.0,70.28,-6,2.627827206,2.440259341
34,17,0.0,0,0,2.0,71.33,-7,0.0,0.0
35,17,0.0,0,0,2.0,71.35,-7,0.0,0.0
36,18,0.0,0,0,2.1,76.43,-8,0.0,0.0
37,18,0.0,0,0,2.2,76.44,-8,0.0,0.0
38,19,0.0,0,0,2.3,76.72,-8,0.0,0.0
39,19,0.0,0,0,2.2,76.72,-8,0.0,0.0
40,20,0.0,0,0,2.2,77.51,-8,0.0,0.0
41,20,0.0,0,0,2.0,77.51,-8,0.0,0.0
42,21,0.0,0,0,1.9,83.46,-9,0.0,0.0
43,21,0.0,0,0,1.8,83.46,-9,0.0,0.0
44,22,0.0,0,0,1.8,83.36,-9,0.0,0.0
45,22,0.0,0,0,1.7,83.36,-9,0.0,0.0
46,23,0.0,0,0,1.7,90.86,-10,0.0,0.0
47,23,0.0,0,0,1.6,90.85,-10,0.0,0.0
48,0,0.0,0,0,1.6,90.66,-10,0.0,0.0
49,0,0.0,0,0,1.6,90.68,-10,0.0,0.0
50,1,0.0,0,0,1.6,88.11,-11,0.0,0.0
51,1,0.0,0,0,1.6,88.11,-11,0.0,0.0
52,2,0.0,0,0,1.6,90.85,-11,0.0,0.0
53,2,0.0,0,0,1.6,90.84,-11,0.0,0.0
54,3,0.0,0,0,1.7,93.78,-12,0.0,0.0
55,3,0.0,0,0,1.7,93.77,-12,0.0,0.0
56,4,0.0,0,0,1.7,90.46,-12,0.0,0.0
57,4,0.0,0,0,1.6,90.46,-12,0.0,0.0
58,5,0.0,0,0,1.6,87.34,-12,0.0,0.0
59,5,0.0,0,0,1.6,87.34,-12,0.0,0.0
60,6,0.0,0,0,1.7,84.96,-12,0.0,0.0
61,6,0.0,0,0,1.7,84.96,-12,0.0,0.0
62,7,0.0,0,0,1.8,83.2,-12,0.0,0.0
63,7,0.0,0,0,2.0,70.75,-10,0.0,0.0
64,8,7.1331441510000015,27,519,2.3,73.26,-9,0.750807773,4.129669654
65,8,14.92279645,41,690,2.8,57.87,-6,1.689298925,8.728428115
66,9,22.80603673,49,799,3.3,66.23,-4,5.161689988,15.57960371
67,9,2.158548626,23,0,3.0,56.92,-2,4.97399217,17.45628072
68,10,36.22567883,60,910,2.7,57.91,-1,16.51740796,23.556335
69,10,41.38691398,64,938,2.4,53.78,0,9.76017926,16.04816342
70,11,45.14082908,66,961,2.1,59.87,0,7.601678078,29.93747292
71,11,47.58087389,67,972,1.9,55.63,0,10.98020167,28.81129839
72,12,48.61266629,67,980,1.7,58.88,1,17.36185734,10.69865804
73,12,48.14343206,66,978,1.5,58.86,1,4.88008963,14.54642101
74,13,46.17214086,64,972,1.4,60.68,2,13.32654506,19.70783769
75,13,42.79416183,62,958,1.2,60.66,1,9.478739796000001,7.789373832999999
76,14,38.19566637,57,936,1.2,61.34,1,4.504797132,38.00839039
77,14,32.28366986,53,902,0.9,61.33,0,2.627827206,24.96353542
78,15,25.4327748,46,852,0.6,72.29,0,14.26550446,14.64026889
79,15,17.73744378,39,772,0.5,77.79,-1,16.61198708,2.5338926930000003
80,16,9.854243726,28,641,0.5,68.91,-2,9.010089323999999,1.407733633
81,16,2.627827206,14,389,0.4,74.29,-3,2.440259341,0.375395636
82,17,0.0,0,0,0.4,67.81,-4,0.0,0.0
83,17,0.0,0,0,0.8,73.2,-5,0.0,0.0
84,18,0.0,0,0,1.3,73.62,-6,0.0,0.0
85,18,0.0,0,0,1.5,73.6,-6,0.0,0.0
86,19,0.0,0,0,1.8,74.97,-7,0.0,0.0
87,19,0.0,0,0,2.0,74.95,-7,0.0,0.0
88,20,0.0,0,0,2.2,71.27,-8,0.0,0.0
89,20,0.0,0,0,2.2,71.26,-8,0.0,0.0
90,21,0.0,0,0,2.2,74.5,-8,0.0,0.0
91,21,0.0,0,0,2.2,74.5,-8,0.0,0.0
92,22,0.0,0,0,2.2,72.83,-8,0.0,0.0
93,22,0.0,0,0,2.2,72.82,-8,0.0,0.0
94,23,0.0,0,0,2.2,72.51,-8,0.0,0.0
95,23,0.0,0,0,2.2,72.49,-8,0.0,0.0
96,0,0.0,0,0,2.2,73.8,-8,0.0,0.0
97,0,0.0,0,0,2.1,68.2,-8,0.0,0.0
98,1,0.0,0,0,2.1,69.06,-8,0.0,0.0
99,1,0.0,0,0,2.1,69.04,-8,0.0,0.0
100,2,0.0,0,0,2.2,69.38,-8,0.0,0.0
101,2,0.0,0,0,2.2,69.36,-7,0.0,0.0
102,3,0.0,0,0,2.2,70.03,-7,0.0,0.0
103,3,0.0,0,0,2.2,70.02,-7,0.0,0.0
104,4,0.0,0,0,2.3,72.18,-7,0.0,0.0
105,4,0.0,0,0,2.4,66.78,-7,0.0,0.0
106,5,0.0,0,0,2.5,68.32,-7,0.0,0.0
107,5,0.0,0,0,2.5,68.32,-7,0.0,0.0
108,6,0.0,0,0,2.6,69.68,-7,0.0,0.0
109,6,0.0,0,0,2.6,69.69,-6,0.0,0.0
110,7,0.0,0,0,2.6,74.08,-6,0.0,0.0
111,7,0.0,0,0,2.4,63.54,-4,0.0,0.0
112,8,0.750807773,8,0,2.2,72.05,-3,4.129669654,4.50469812
113,8,1.689298925,18,0,2.0,66.85,-2,8.728428115,9.478531459
114,9,5.161689988,55,0,1.8,72.81,-1,15.57960371,4.129215849
115,9,4.97399217,53,0,2.0,67.63,-1,17.45628072,7.78911702
116,10,16.51740796,153,65,2.2,72.03,-1,23.556335,9.102843944
117,10,9.76017926,104,0,2.6,72.02,0,16.04816342,12.10584401
118,11,7.601678078,81,0,3.1,75.29,0,29.93747292,25.05600641
119,11,10.98020167,117,0,3.5,75.28,0,28.81129839,17.07937515
120,12,17.36185734,176,20,3.9,75.99,0,10.69865804,25.80646454
121,12,4.88008963,52,0,4.3,76.01,0,14.54642101,20.64517164
122,13,13.32654506,141,3,4.7,79.12,-1,19.70783769,18.11144603
123,13,9.478739796000001,101,0,5.0,79.17,-1,7.789373832999999,25.14984913
124,14,4.504797132,48,0,5.3,78.49,-2,38.00839039,15.67173434
125,14,2.627827206,28,0,5.1,84.71,-3,24.96353542,16.42247611
126,15,14.26550446,110,157,5.1,80.48,-4,14.64026889,9.196586621
127,15,16.61198708,71,535,4.4,86.96,-5,2.5338926930000003,6.381375136
128,16,9.010089323999999,47,403,3.7,79.93,-7,1.407733633,3.566062576
129,16,2.440259341,26,0,3.1,86.46,-8,0.375395636,1.032292617
130,17,0.0,0,0,2.6,80.46,-9,0.0,0.0
131,17,0.0,0,0,2.3,87.15,-9,0.0,0.0
132,18,0.0,0,0,2.0,85.23,-10,0.0,0.0
133,18,0.0,0,0,1.7,85.26,-10,0.0,0.0
134,19,0.0,0,0,1.5,85.29,-11,0.0,0.0
135,19,0.0,0,0,1.2,85.3,-11,0.0,0.0
136,20,0.0,0,0,0.9,86.81,-12,0.0,0.0
137,20,0.0,0,0,0.7,86.81,-12,0.0,0.0
138,21,0.0,0,0,0.5,82.9,-12,0.0,0.0
139,21,0.0,0,0,0.4,82.89,-12,0.0,0.0
140,22,0.0,0,0,0.4,79.09,-13,0.0,0.0
141,22,0.0,0,0,0.7,79.08,-13,0.0,0.0
142,23,0.0,0,0,1.1,81.09,-13,0.0,0.0
143,23,0.0,0,0,1.4,81.08,-13,0.0,0.0
144,0,0.0,0,0,1.8,77.76,-14,0.0,0.0
145,0,0.0,0,0,2.0,77.77,-13,0.0,0.0
146,1,0.0,0,0,2.2,77.69,-13,0.0,0.0
147,1,0.0,0,0,2.2,71.57,-13,0.0,0.0
148,2,0.0,0,0,2.2,72.62,-13,0.0,0.0
149,2,0.0,0,0,2.2,72.61,-12,0.0,0.0
150,3,0.0,0,0,2.2,73.02,-12,0.0,0.0
151,3,0.0,0,0,2.2,73.01,-12,0.0,0.0
152,4,0.0,0,0,2.3,72.77,-12,0.0,0.0
153,4,0.0,0,0,2.2,72.77,-12,0.0,0.0
154,5,0.0,0,0,2.2,72.63,-12,0.0,0.0
155,5,0.0,0,0,2.0,66.98,-11,0.0,0.0
156,6,0.0,0,0,1.9,67.97,-11,0.0,0.0
157,6,0.0,0,0,1.8,67.99,-11,0.0,0.0
158,7,0.0,0,0,1.8,69.47,-11,0.0,0.0
159,7,0.0,0,0,2.1,59.16,-9,0.0,0.0
160,8,4.129669654,34,112,2.4,65.0,-8,4.50469812,5.255365626000001
161,8,8.728428115,65,160,2.6,55.59,-6,9.478531459,11.07368444
162,9,15.57960371,88,320,2.9,58.76,-5,4.129215849,13.51335177
163,9,17.45628072,129,183,2.7,54.46,-3,7.78911702,21.11438008
164,10,23.556335,150,279,2.6,58.11,-2,9.102843944,26.65074684
165,10,16.04816342,159,29,2.8,50.07,-1,12.10584401,29.84100123
166,11,29.93747292,190,298,3.0,52.79,0,25.05600641,38.37998541
167,11,28.81129839,211,210,3.2,49.08,0,17.07937515,40.91362747
168,12,10.69865804,114,0,3.5,54.63,0,25.80646454,42.22736781
169,12,14.54642101,152,6,3.5,54.64,0,20.64517164,41.85201343
170,13,19.70783769,189,48,3.6,57.39,1,18.11144603,38.94301698
171,13,7.789373832999999,83,0,3.4,57.4,0,25.14984913,34.62682218
172,14,38.00839039,61,911,3.2,59.01,0,15.67173434,29.55948235
173,14,24.96353542,105,492,2.8,59.03,0,16.42247611,23.74168644
174,15,14.64026889,111,167,2.5,65.15,0,9.196586621,17.82992096
175,15,2.5338926930000003,27,0,2.3,70.12,0,6.381375136,11.730469
176,16,1.407733633,15,0,2.2,65.74,-1,3.566062576,6.66297962
177,16,0.375395636,4,0,2.2,65.75,-1,1.032292617,2.064607925
178,17,0.0,0,0,2.2,64.36,-2,0.0,0.0
179,17,0.0,0,0,2.0,64.38,-2,0.0,0.0
180,18,0.0,0,0,1.9,66.96,-3,0.0,0.0
181,18,0.0,0,0,1.7,66.99,-3,0.0,0.0
182,19,0.0,0,0,1.5,65.33,-4,0.0,0.0
183,19,0.0,0,0,1.4,65.34,-4,0.0,0.0
184,20,0.0,0,0,1.3,69.09,-4,0.0,0.0
185,20,0.0,0,0,1.4,69.07,-4,0.0,0.0
186,21,0.0,0,0,1.5,67.65,-5,0.0,0.0
187,21,0.0,0,0,1.7,67.61,-5,0.0,0.0
188,22,0.0,0,0,1.9,71.88,-5,0.0,0.0
189,22,0.0,0,0,2.0,71.85,-5,0.0,0.0
190,23,0.0,0,0,2.1,72.17,-5,0.0,0.0
191,23,0.0,0,0,2.1,72.18,-5,0.0,0.0
192,0,0.0,0,0,2.1,72.1,-5,0.0,0.0
193,0,0.0,0,0,2.0,72.1,-5,0.0,0.0
194,1,0.0,0,0,2.0,72.14,-5,0.0,0.0
195,1,0.0,0,0,2.0,72.11,-5,0.0,0.0
196,2,0.0,0,0,2.0,72.94,-5,0.0,0.0
197,2,0.0,0,0,2.0,72.92,-5,0.0,0.0
198,3,0.0,0,0,2.0,74.04,-5,0.0,0.0
199,3,0.0,0,0,2.0,68.57,-5,0.0,0.0
200,4,0.0,0,0,2.0,70.64,-5,0.0,0.0
201,4,0.0,0,0,2.1,70.63,-4,0.0,0.0
202,5,0.0,0,0,2.3,73.87,-4,0.0,0.0
203,5,0.0,0,0,2.5,68.44,-3,0.0,0.0
204,6,0.0,0,0,2.8,72.33,-3,0.0,0.0
205,6,0.0,0,0,3.2,67.06,-2,0.0,0.0
206,7,0.0,0,0,3.6,72.48,-2,0.0,0.0
207,7,0.0,0,0,3.8,67.26,-1,0.0,0.0
208,8,4.50469812,33,166,4.1,71.83,0,5.255365626000001,0.750824275
209,8,9.478531459,63,220,4.5,66.72,1,11.07368444,1.595484051
210,9,4.129215849,44,0,4.9,73.36,2,13.51335177,4.880250525
211,9,7.78911702,83,0,5.7,68.23,3,21.11438008,3.75399761
212,10,9.102843944,97,0,6.6,65.55,4,26.65074684,5.443236715
213,10,12.10584401,129,0,7.0,65.53,4,29.84100123,8.446308975
214,11,25.05600641,202,149,7.4,64.54,5,38.37998541,12.29407195
215,11,17.07937515,173,20,7.7,64.51,5,40.91362747,16.8924323
