일자,시가,고가,저가,종가,금액(백만),개인,기관,외국계,프로그램,외인비
2011-04-18,17820.0,17840.0,17320.0,17340.0,479931.0,159771.0,112386.0,32453.0,7135.0,50.88
2011-04-19,17060.0,17500.0,17060.0,17500.0,398692.0,66561.0,79621.0,843.0,13615.0,50.9
2011-04-20,17780.0,18320.0,17720.0,18320.0,581048.0,260222.0,162662.0,72934.0,64712.0,50.93
2011-04-21,18600.0,18740.0,18360.0,18560.0,503043.0,168407.0,68110.0,169197.0,99318.0,51.06
2011-04-22,18480.0,18540.0,18040.0,18080.0,341991.0,23535.0,148708.0,61631.0,53188.0,51.12
2011-04-25,18020.0,18220.0,17780.0,17780.0,257099.0,49673.0,62080.0,11535.0,26064.0,51.15
2011-04-26,17980.0,17980.0,17600.0,17940.0,340964.0,41274.0,41808.0,20443.0,26153.0,51.14
2011-04-27,18340.0,18540.0,18220.0,18480.0,487091.0,201557.0,19470.0,155528.0,144345.0,51.26
2011-04-28,18480.0,18540.0,17980.0,18000.0,378681.0,28335.0,55549.0,67698.0,64490.0,51.33
2011-04-29,18020.0,18160.0,17600.0,17860.0,382060.0,97971.0,48770.0,36777.0,16449.0,51.29
2011-05-02,18200.0,18740.0,18080.0,18640.0,604591.0,271624.0,178758.0,75309.0,69567.0,51.32
2011-05-03,18720.0,18800.0,18440.0,18760.0,474939.0,151067.0,114525.0,58897.0,8240.0,51.35
2011-05-04,18600.0,18680.0,18000.0,18300.0,474411.0,36280.0,22721.0,40579.0,98583.0,51.34
2011-05-06,17980.0,18280.0,17900.0,17980.0,426757.0,44858.0,14380.0,59600.0,28585.0,51.29
2011-05-09,18160.0,18220.0,17820.0,17820.0,243541.0,66336.0,31386.0,1654.0,113332.0,51.28
2011-05-11,17780.0,17900.0,17640.0,17840.0,397935.0,106069.0,53708.0,6764.0,118148.0,51.26
2011-05-12,17720.0,18020.0,17660.0,17700.0,491893.0,42950.0,67102.0,28228.0,272663.0,51.18
2011-05-13,17920.0,18480.0,17800.0,18320.0,610522.0,144671.0,266052.0,25343.0,147573.0,51.1
2011-05-16,18340.0,18380.0,17960.0,18020.0,291206.0,8759.0,29472.0,2605.0,131783.0,51.06
2011-05-17,17940.0,17960.0,17780.0,17800.0,206419.0,30000.0,6151.0,19470.0,36259.0,51.05
2011-05-18,17860.0,17980.0,17720.0,17860.0,296334.0,18090.0,25128.0,28180.0,105944.0,51.06
2011-05-19,17820.0,17960.0,17600.0,17600.0,343265.0,101810.0,45728.0,42602.0,135060.0,51.02
2011-05-20,17700.0,17740.0,17600.0,17640.0,195615.0,2907.0,14950.0,7508.0,20709.0,51.03
2011-05-23,17540.0,17700.0,17440.0,17460.0,246908.0,22038.0,27995.0,14146.0,41829.0,51.04
2011-05-24,17440.0,17680.0,17300.0,17300.0,252603.0,26111.0,10922.0,10056.0,53124.0,51.03
2011-05-25,17580.0,17580.0,17060.0,17120.0,275954.0,63271.0,62626.0,12147.0,47795.0,51.04
2011-05-26,17360.0,17600.0,17300.0,17580.0,243824.0,8804.0,43335.0,22061.0,6851.0,51.06
2011-05-27,17480.0,17980.0,17340.0,17820.0,382381.0,80728.0,87360.0,37411.0,4229.0,51.06
2011-05-30,17900.0,17900.0,17520.0,17680.0,181583.0,16810.0,31853.0,36392.0,42933.0,51.03
2011-05-31,17800.0,18280.0,17720.0,18040.0,431920.0,175086.0,11944.0,51077.0,98721.0,51.08
2011-06-01,18040.0,18240.0,17900.0,18220.0,284509.0,64745.0,48082.0,437.0,212.0,51.08
2011-06-02,17880.0,17940.0,17600.0,17660.0,294347.0,56232.0,13621.0,9291.0,20260.0,51.08
2011-06-03,17800.0,17800.0,17540.0,17700.0,178232.0,11837.0,4901.0,5836.0,89604.0,51.07
2011-06-07,17520.0,17780.0,17380.0,17740.0,267136.0,760.0,8969.0,13917.0,84598.0,51.08
2011-06-08,17700.0,17800.0,17500.0,17540.0,228123.0,11655.0,16376.0,8148.0,2385.0,51.11
2011-06-09,17540.0,17580.0,17300.0,17300.0,377093.0,105203.0,34156.0,32928.0,155804.0,51.08
2011-06-10,17400.0,17480.0,17020.0,17020.0,337889.0,90843.0,53331.0,25861.0,52538.0,51.09
2011-06-13,16880.0,17060.0,16760.0,17060.0,254968.0,18897.0,14152.0,77608.0,62642.0,51.03
2011-06-14,17020.0,17460.0,16960.0,17260.0,184087.0,19241.0,24973.0,20687.0,6623.0,51.02
2011-06-15,17320.0,17380.0,17020.0,17300.0,228319.0,2323.0,23939.0,18666.0,530.0,51.0
2011-06-16,17060.0,17160.0,16880.0,16960.0,202843.0,58814.0,20484.0,25451.0,113.0,50.99
2011-06-17,17020.0,17040.0,16060.0,16380.0,591658.0,150120.0,137866.0,100782.0,108880.0,50.95
2011-06-20,16260.0,16280.0,15900.0,16000.0,378293.0,98235.0,10665.0,146543.0,30142.0,50.87
2011-06-21,16000.0,16400.0,15960.0,16280.0,306097.0,19393.0,3633.0,24188.0,86359.0,50.87
2011-06-22,16480.0,16660.0,16440.0,16520.0,273659.0,34945.0,5770.0,6531.0,39706.0,50.89
2011-06-23,16500.0,16780.0,16400.0,16620.0,230353.0,40391.0,4255.0,57586.0,13479.0,50.92
2011-06-24,16420.0,17080.0,16420.0,17040.0,398531.0,107787.0,157142.0,65423.0,168394.0,50.88
2011-06-27,16940.0,16940.0,16560.0,16700.0,253793.0,35939.0,16211.0,20333.0,55607.0,50.87
2011-06-28,16800.0,17060.0,16620.0,16640.0,201273.0,14438.0,46170.0,11257.0,62217.0,50.88
2011-06-29,16960.0,16980.0,16640.0,16660.0,173720.0,4339.0,50542.0,32761.0,36912.0,50.92
2011-06-30,16660.0,16700.0,16420.0,16520.0,271200.0,38049.0,39043.0,44637.0,31758.0,50.95
2011-07-01,16860.0,17200.0,16760.0,17100.0,376709.0,88319.0,54472.0,51663.0,15364.0,50.99
2011-07-04,17400.0,17660.0,17380.0,17560.0,377445.0,139455.0,88378.0,30314.0,8306.0,51.01
2011-07-05,17600.0,17980.0,17560.0,17980.0,376402.0,182546.0,27625.0,97922.0,76401.0,51.11
2011-07-06,17860.0,17960.0,17740.0,17960.0,200755.0,51479.0,33384.0,7623.0,55665.0,51.12
2011-07-07,17960.0,17960.0,17580.0,17600.0,316986.0,27106.0,4642.0,14775.0,84758.0,51.11
2011-07-08,17600.0,17760.0,17460.0,17700.0,213430.0,11194.0,7021.0,24156.0,66213.0,51.13
2011-07-11,17600.0,17600.0,17240.0,17300.0,277461.0,47399.0,43714.0,7312.0,65664.0,51.13
2011-07-12,17200.0,17220.0,16920.0,17000.0,211319.0,34271.0,18540.0,15598.0,3417.0,51.12
2011-07-13,16960.0,17100.0,16720.0,16860.0,278331.0,70640.0,75906.0,38188.0,15288.0,51.14
2011-07-14,16700.0,16700.0,16460.0,16620.0,337606.0,161356.0,32960.0,69892.0,83224.0,51.09
2011-07-15,16600.0,16800.0,16420.0,16640.0,227114.0,72246.0,15485.0,91370.0,29346.0,51.03
2011-07-18,16560.0,16600.0,16220.0,16260.0,297423.0,151558.0,54972.0,53621.0,72563.0,50.99
2011-07-19,16120.0,16540.0,16120.0,16440.0,238441.0,14781.0,6799.0,50630.0,45632.0,50.96
2011-07-20,16800.0,17080.0,16780.0,17020.0,357559.0,137236.0,38197.0,74575.0,31473.0,50.99
2011-07-21,16920.0,17020.0,16640.0,16840.0,174121.0,17904.0,13979.0,23368.0,33076.0,51.01
2011-07-22,17000.0,17120.0,16840.0,17000.0,207797.0,44926.0,1375.0,62880.0,57537.0,51.04
2011-07-25,17000.0,17000.0,16680.0,16940.0,160105.0,868.0,24755.0,46292.0,20676.0,51.07
2011-07-26,16860.0,17020.0,16800.0,17000.0,190879.0,14787.0,14359.0,27209.0,75232.0,51.06
2011-07-27,16960.0,16960.0,16720.0,16900.0,169892.0,4087.0,14416.0,515.0,6899.0,51.07
2011-07-28,16560.0,16800.0,16520.0,16740.0,227323.0,6036.0,93383.0,50095.0,13692.0,51.14
2011-07-29,16920.0,17040.0,16740.0,16880.0,255326.0,22978.0,9154.0,73349.0,26236.0,51.18
2011-08-01,17100.0,17500.0,17100.0,17400.0,337910.0,139297.0,7477.0,92050.0,124609.0,51.25
2011-08-02,17060.0,17180.0,17000.0,17040.0,230441.0,14764.0,50122.0,13853.0,37291.0,51.24
2011-08-03,16800.0,16880.0,16480.0,16660.0,340145.0,51902.0,47644.0,33371.0,90480.0,51.21
2011-08-04,16780.0,16780.0,16300.0,16420.0,285026.0,55805.0,8818.0,72411.0,26598.0,51.16
2011-08-05,15840.0,16100.0,15780.0,15780.0,484485.0,111623.0,32180.0,147000.0,78769.0,51.05
2011-08-08,15400.0,15780.0,15200.0,15200.0,468890.0,13475.0,11337.0,30582.0,91840.0,51.04
2011-08-09,15000.0,15060.0,13920.0,14480.0,715295.0,124165.0,46453.0,130749.0,162879.0,50.92
2011-08-10,15200.0,15200.0,14400.0,14400.0,722172.0,212967.0,28956.0,82725.0,320164.0,50.81
